,age_head,income_bin,age_group,n,smoothed,add_head
110,70,"[25, 50)",nu18,0.031264877462997304,False,False
111,71,"[25, 50)",nu18,0.018037503621487157,False,False
112,72,"[25, 50)",nu18,0.02112908728037541,False,False
113,73,"[25, 50)",nu18,0.009198579217874505,False,False
114,74,"[25, 50)",nu18,0.024545144078178507,False,False
115,75,"[25, 50)",nu18,0.013568739622889646,False,False
116,76,"[25, 50)",nu18,0.034093910919451506,False,False
117,77,"[25, 50)",nu18,0.014818777398759196,False,False
118,78,"[25, 50)",nu18,0.0007147885024273782,False,False
119,79,"[25, 50)",nu18,0.009996135411977036,False,False
120,20,"[50, 70)",nu18,0.06987583404025391,False,False
121,21,"[50, 70)",nu18,0.11440043877765213,False,False
122,22,"[50, 70)",nu18,0.14376336394293393,False,False
123,23,"[50, 70)",nu18,0.18270895494898148,False,False
124,24,"[50, 70)",nu18,0.2598250946866225,False,False
125,25,"[50, 70)",nu18,0.24442072232480436,False,False
126,26,"[50, 70)",nu18,0.374659812952716,False,False
127,27,"[50, 70)",nu18,0.41357532094863186,False,False
128,28,"[50, 70)",nu18,0.4865385745706976,False,False
129,29,"[50, 70)",nu18,0.5685142608687281,False,False
130,30,"[50, 70)",nu18,0.6435473198653838,False,False
131,31,"[50, 70)",nu18,0.7719944835862826,False,False
132,32,"[50, 70)",nu18,0.8302348176548331,False,False
133,33,"[50, 70)",nu18,1.024459620065168,False,False
134,34,"[50, 70)",nu18,1.0427437242544801,False,False
135,35,"[50, 70)",nu18,1.2041206852359667,False,False
136,36,"[50, 70)",nu18,1.1362201997642052,False,False
137,37,"[50, 70)",nu18,1.2273618451380162,False,False
138,38,"[50, 70)",nu18,1.1989926596609626,False,False
139,39,"[50, 70)",nu18,1.207903340609752,False,False
140,40,"[50, 70)",nu18,1.114787502793275,False,False
141,41,"[50, 70)",nu18,1.077401816318187,False,False
142,42,"[50, 70)",nu18,1.0998660659483208,False,False
143,43,"[50, 70)",nu18,0.9055578944338295,False,False
144,44,"[50, 70)",nu18,0.832986483782358,False,False
145,45,"[50, 70)",nu18,0.8153301036953998,False,False
146,46,"[50, 70)",nu18,0.7479569519052439,False,False
147,47,"[50, 70)",nu18,0.6796991662080404,False,False
148,48,"[50, 70)",nu18,0.6150836098004189,False,False
149,49,"[50, 70)",nu18,0.4406861351755503,False,False
150,50,"[50, 70)",nu18,0.38231785285859293,False,False
151,51,"[50, 70)",nu18,0.4080944407972302,False,False
152,52,"[50, 70)",nu18,0.32768617823945667,False,False
153,53,"[50, 70)",nu18,0.21829888128010955,False,False
154,54,"[50, 70)",nu18,0.2476185211162977,False,False
155,55,"[50, 70)",nu18,0.1996294884422128,False,False
156,56,"[50, 70)",nu18,0.18509262425327352,False,False
157,57,"[50, 70)",nu18,0.11365393426990841,False,False
158,58,"[50, 70)",nu18,0.1145599896569557,False,False
159,59,"[50, 70)",nu18,0.10283708533357808,False,False
160,60,"[50, 70)",nu18,0.07527009812492434,False,False
161,61,"[50, 70)",nu18,0.06820112262778058,False,False
162,62,"[50, 70)",nu18,0.09782884636307589,False,False
163,63,"[50, 70)",nu18,0.07450719429138723,False,False
164,64,"[50, 70)",nu18,0.0595285691016667,False,False
165,65,"[50, 70)",nu18,0.04145363397891692,False,False
166,66,"[50, 70)",nu18,0.040834555421239205,False,False
167,67,"[50, 70)",nu18,0.03228241688763907,False,False
168,68,"[50, 70)",nu18,0.029276775741250097,False,False
169,69,"[50, 70)",nu18,0.03308642568159718,False,False
170,70,"[50, 70)",nu18,0.015091250456029827,False,False
