,li_group,head_age,nu18,n1864,n65,nu18smooth,n1864smooth,n65smooth
179,"(0.5, 0.7]",77.0,0.0,0.2857142857142857,0.5714285714285714,0.009435296197526748,0.21838135110167256,1.4470289744288236
180,"(0.5, 0.7]",78.0,0.0,0.38461538461538464,0.3076923076923077,0.00014916524706154455,0.183668418200372,1.4647165710637993
181,"(0.5, 0.7]",79.0,0.0,0.3333333333333333,0.33333333333333326,-0.009132638154134657,0.14945046398726344,1.4824015981117753
182,"(0.5, 0.7]",80.0,0.0,0.5,0.5,-0.01838724664472654,0.11567163502679487,1.5000841796430278
183,"(0.7, 0.8]",20.0,0.312,0.4480000000000002,0.0,0.24626405303134793,1.4618317921749537,0.0
184,"(0.7, 0.8]",21.0,0.4032258064516129,0.4946236559139785,0.0,0.32823567577401347,1.484991731681623,0.0
185,"(0.7, 0.8]",22.0,0.42366412213740456,0.49236641221374056,0.0,0.41068949465841686,1.5081007817499112,0.0
186,"(0.7, 0.8]",23.0,0.4893048128342246,0.5240641711229947,0.0,0.4935729753667278,1.531158606083458,0.0
187,"(0.7, 0.8]",24.0,0.5552884615384616,0.5745192307692308,0.0,0.5768120668059356,1.5541714703465268,0.0
188,"(0.7, 0.8]",25.0,0.5846456692913385,0.5885826771653544,0.0,0.6603326831951244,1.5771501582324576,0.0
189,"(0.7, 0.8]",26.0,0.6666666666666666,0.5828460038986354,0.0019493177387914231,0.7440884652857526,1.6000999934935913,0.0
190,"(0.7, 0.8]",27.0,0.7330677290836654,0.6294820717131475,0.0,0.8281173685955923,1.6230220088818865,0.0
191,"(0.7, 0.8]",28.0,0.8584558823529411,0.6433823529411764,0.0,0.9126391538682567,1.6459221530231904,0.0
192,"(0.7, 0.8]",29.0,1.025242718446602,0.6873786407766989,0.0,0.9982741346975615,1.6688074556704726,0.0
193,"(0.7, 0.8]",30.0,1.0893203883495146,0.6951456310679611,0.0,1.086500856312126,1.6916789546769873,0.0
194,"(0.7, 0.8]",31.0,1.1590457256461233,0.7216699801192843,0.0,1.180125842688604,1.7144697042378063,0.0
195,"(0.7, 0.8]",32.0,1.3108695652173914,0.7478260869565216,0.0,1.2704837767129555,1.7374753335009052,0.0
196,"(0.7, 0.8]",33.0,1.4159482758620692,0.75,0.0,1.3260663710887703,1.7611871734706046,0.0
197,"(0.7, 0.8]",34.0,1.45413870246085,0.7762863534675617,0.0,1.3164707537545324,1.7858168027455816,0.0
198,"(0.7, 0.8]",35.0,1.5328947368421053,0.7916666666666667,0.0,1.281507745502924,1.8115246076032703,0.0
199,"(0.7, 0.8]",36.0,1.5680751173708918,0.8098591549295773,0.0,1.2595274800701417,1.8383619609655981,0.0
200,"(0.7, 0.8]",37.0,1.6009732360097324,0.8613138686131387,0.0,1.250224103015232,1.866225657725464,0.0
201,"(0.7, 0.8]",38.0,1.6570743405275778,0.8681055155875301,0.0,1.245563126952608,1.8948372418461423,0.0
202,"(0.7, 0.8]",39.0,1.6612903225806452,0.8817204301075268,0.0,1.2409787353806832,1.9237162546864917,0.0
203,"(0.7, 0.8]",40.0,1.6106666666666667,0.9333333333333331,0.0,1.235627010040361,1.9522530674705312,0.0
204,"(0.7, 0.8]",41.0,1.5444444444444445,0.95,0.0,1.2315631954522828,1.9797770244598971,0.0
205,"(0.7, 0.8]",42.0,1.5040871934604905,1.0408719346049047,0.0,1.2310527029245806,2.0057465158606025,0.0
206,"(0.7, 0.8]",43.0,1.3615160349854227,1.0962099125364437,0.0,1.2287000712279388,2.0299226505583663,0.0
207,"(0.7, 0.8]",44.0,1.2184615384615385,1.086153846153846,0.0,1.2024359997896426,2.052482276226555,0.0
208,"(0.7, 0.8]",45.0,1.1287425149700598,1.1556886227544911,0.0,1.1400334381171031,2.0736915171583146,0.0
209,"(0.7, 0.8]",46.0,1.0537974683544304,1.1613924050632911,0.0,1.0600375755587728,2.093103531010088,0.0
210,"(0.7, 0.8]",47.0,0.9782608695652174,1.1987577639751552,0.0,0.9792444134202588,2.109929986700954,0.0
211,"(0.7, 0.8]",48.0,0.9046153846153846,1.1630769230769231,0.0,0.9015366494656099,2.1234905483169553,0.0
212,"(0.7, 0.8]",49.0,0.7789115646258503,1.1666666666666665,0.0,0.8269170786043573,2.133312492878815,0.0
213,"(0.7, 0.8]",50.0,0.710801393728223,1.1881533101045294,0.0,0.7550977577303509,2.1387847116232646,0.0
214,"(0.7, 0.8]",51.0,0.6142857142857143,1.157142857142857,0.0,0.6860024675481612,2.1394594456215796,0.0
215,"(0.7, 0.8]",52.0,0.5527272727272727,1.1527272727272733,0.0,0.6197277935808175,2.1352299558485397,0.0
216,"(0.7, 0.8]",53.0,0.5019607843137255,1.1372549019607843,0.0,0.5564504913048594,2.126545484485353,0.0
